word,context,lemmas,predict_sense_id_adagram,adagram_true
звезда,"Перед глазами вспыхнули звезды , а тело скорчилось от боли .","['перед', 'глаз', 'вспыхнуть', 'звезда', ',', 'а', 'тело', 'скорчиться', 'от', 'боль', '.']",4,1
звезда,"Света звезд и яркой в это время года луны вполне было достаточно , чтобы различать во мраке белые камни дорожки .","['свет', 'звезда', 'и', 'яркий', 'в', 'этот', 'время', 'год', 'луна', 'вполне', 'быть', 'достаточный', ',', 'чтобы', 'различать', 'во', 'мрак', 'белый', 'камень', 'дорожка', '.']",4,0
звезда,"Я долго всматривалась в небо , стараясь увидеть утопленные в нем звезды .","['я', 'долго', 'всматриваться', 'в', 'небо', ',', 'стараться', 'увидеть', 'утопленный', 'в', 'он', 'звезда', '.']",4,0
звезда,"Вершины гор , освещенные первыми звездами , были еще сиреневыми .","['вершина', 'гора', ',', 'освещённый', 'первый', 'звезда', ',', 'быть', 'ещё', 'сиреневый', '.']",4,0
звезда,""" Это звезда , с неба упавшая — , "" кратко объяснил свою необычную задумку автор Владимир Белоконь .","['""', 'это', 'звезда', ',', 'с', 'небо', 'упавший', '—', ',', '""', 'кратко', 'объяснить', 'свой', 'необычный', 'задумка', 'автор', 'Владимир', 'Белоконь', '.']",4,0
слух,"Его слух , наверное , еще не восстановился полностью .","['его', 'слух', ',', 'наверное', ',', 'ещё', 'не', 'восстановиться', 'полностью', '.']",3,1
слух,"Включила , послушала — и даже гитара на слух настроена точно в тон с песней в записи .","['включить', ',', 'послушать', '—', 'и', 'даже', 'гитара', 'на', 'слух', 'настроенный', 'точно', 'в', 'тон', 'с', 'песня', 'в', 'запись', '.']",3,1
слух,Его усиленный акустической системой слух пронзил резкий звон разжавшихся пружин .,"['его', 'усиленный', 'акустический', 'система', 'слух', 'пронзить', 'резкий', 'звон', 'разжавшийся', 'пружина', '.']",3,1
слух,"Каждый прислушивался к нарастающему вою снарядов с тем особым напряжением , которое наделяет слух крайней остротой .","['каждый', 'прислушиваться', 'к', 'нарастающий', 'вой', 'снаряд', 'с', 'тот', 'особый', 'напряжение', ',', 'который', 'наделять', 'слух', 'крайний', 'острота', '.']",3,1
слух,"способствует заживлению и восстановлению барабанных перепонок , помогает улучшить слух , потерянный с возрастом или после перенесенного заболевания , при условии регулярной обработки слуховых проходов ;","['способствовать', 'заживление', 'и', 'восстановление', 'барабанный', 'перепонка', ',', 'помогать', 'улучшить', 'слух', ',', 'потерянный', 'с', 'возраст', 'или', 'после', 'перенесённый', 'заболевание', ',', 'при', 'условие', 'регулярный', 'обработка', 'слуховой', 'проход', ';']",3,1
слух,"Слухам о ваших пикантных отношениях с моей племянницей можно положить конец , только объявив о помолвке .","['слух', 'о', 'ваш', 'пикантный', 'отношение', 'с', 'мой', 'племянница', 'можно', 'положить', 'конец', ',', 'только', 'объявить', 'о', 'помолвка', '.']",2,1
слух,"Что в этой комнате всё чаще ходят слухи ,","['что', 'в', 'этот', 'комната', 'всё', 'часто', 'ходить', 'слух', ',']",2,1
слух,"В_течение годов и во всех уголках мира она слушала слухи о вампирах , оборотнях , гоблинах и ведьмах , богах и богинях , демонах и ангелах , чудовищах и феях .","['в_течение', 'год', 'и', 'во', 'весь', 'уголок', 'мир', 'он', 'слушать', 'слух', 'о', 'вампир', ',', 'оборотень', ',', 'гоблин', 'и', 'ведьма', ',', 'бог', 'и', 'богиня', ',', 'демон', 'и', 'ангел', ',', 'чудовище', 'и', 'фея', '.']",2,1
слух,"В городе ходили слухи , что земские бояре , выполняя приказ царя , денег на постройку не жалели и дворцовые палаты отделали с роскошью .","['в', 'город', 'ходить', 'слух', ',', 'что', 'земский', 'боярин', ',', 'выполнять', 'приказ', 'царь', ',', 'деньги', 'на', 'постройка', 'не', 'жалеть', 'и', 'дворцовый', 'палата', 'отделать', 'с', 'роскошь', '.']",2,1
слух,"7.13 ( 10 ) Если об этом человеке прошел слух , что он умер , то суд собирает все его движимое имущество и оставляет его у человека , которому суд доверяет ; сады и виноградники отдают родственнику пропавшего , чтобы он обрабатывал их на правах дольщика , пока не будет доказано , что хозяин умер , или пока он не вернется .","['7.13', '(', '10', ')', 'если', 'об', 'этот', 'человек', 'пройти', 'слух', ',', 'что', 'он', 'умереть', ',', 'то', 'суд', 'собирать', 'весь', 'его', 'движимый', 'имущество', 'и', 'оставлять', 'он', 'у', 'человек', ',', 'который', 'суд', 'доверять', ';', 'сад', 'и', 'виноградник', 'отдавать', 'родственник', 'пропавший', ',', 'чтобы', 'он', 'обрабатывать', 'он', 'на', 'право', 'дольщик', ',', 'пока', 'не', 'быть', 'доказанный', ',', 'что', 'хозяин', 'умереть', ',', 'или', 'пока', 'он', 'не', 'вернуться', '.']",2,1
идти,"От рукавиц шел уже не пар , а дым .","['от', 'рукавица', 'идти', 'уже', 'не', 'пар', ',', 'а', 'дым', '.']",2,0
идти,И запах шел из кухни .,"['и', 'запах', 'идти', 'из', 'кухня', '.']",2,0
идти,"Натыкаясь , словно , на стену останавливался и шёл обратно .","['натыкаться', ',', 'словно', ',', 'на', 'стена', 'останавливаться', 'и', 'идти', 'обратно', '.']",2,1
идти,"Он шел опереди с двумя корзинами в руках , тоненькие струйки воды , сочившиеся из-под белья , брызгали на начищенные сапоги .","['он', 'идти', 'опередить', 'с', 'два', 'корзина', 'в', 'рука', ',', 'тоненький', 'струйка', 'вода', ',', 'сочившийся', 'из-под', 'бельё', ',', 'брызгать', 'на', 'начищенный', 'сапог', '.']",2,1
идти,"Мертвецы были медлительными , небольшие кусочки плоти падали с них , пока они шли .","['мертвец', 'быть', 'медлительный', ',', 'небольшой', 'кусочек', 'плоть', 'падать', 'с', 'он', ',', 'пока', 'он', 'идти', '.']",2,1
кисть,"Мне показалось , что синяк у него на лице начал немного сходить , а вот левая кисть , напротив , опухла ещё сильнее .","['я', 'показаться', ',', 'что', 'синяк', 'у', 'он', 'на', 'лицо', 'начать', 'немного', 'сходить', ',', 'а', 'вот', 'левый', 'кисть', ',', 'напротив', ',', 'опухнуть', 'ещё', 'сильно', '.']",3,1
кисть,"Вот один делает резкий поворот , и кончик рапиры врезается противнику в кисть .","['Вот', 'один', 'делать', 'резкий', 'поворот', ',', 'и', 'кончик', 'рапира', 'врезаться', 'противник', 'в', 'кисть', '.']",3,1
кисть,"Почувствовал , как сила перетекает в плечи , потом , секунду помедлив в локтевых суставах , стекает по предплечьям к кистям рук и наконец сосредоточивается в пальцах , слегка покалывая кожу .","['почувствовать', ',', 'как', 'сила', 'перетекать', 'в', 'плечо', ',', 'потом', ',', 'секунда', 'помедлить', 'в', 'локтевой', 'сустав', ',', 'стекать', 'по', 'предплечье', 'к', 'кисть', 'рука', 'и', 'наконец', 'сосредоточиваться', 'в', 'палец', ',', 'слегка', 'покалывать', 'кожа', '.']",3,1
кисть,"Холод моментально сковал его движения , и художник уронил кисть .","['холод', 'моментально', 'сковать', 'его', 'движение', ',', 'и', 'художник', 'уронить', 'кисть', '.']",3,0
кисть,"Сжав кисти в кулак , чтобы не была видна их дрожь , девушка нажала на кнопку перевода денег на свой банковский счет и встала из-за стола .","['сжать', 'кисть', 'в', 'кулак', ',', 'чтобы', 'не', 'быть', 'видный', 'их', 'дрожь', ',', 'девушка', 'нажать', 'на', 'кнопка', 'перевод', 'деньги', 'на', 'свой', 'банковский', 'счёт', 'и', 'встать', 'из-за', 'стол', '.']",3,1
отражать,Они не отражают действительный мир .,"['он', 'не', 'отражать', 'действительный', 'мир', '.']",5,1
отражать,Название тэга должно отражать его содержание .,"['название', 'тэг', 'должный', 'отражать', 'его', 'содержание', '.']",5,0
отражать,"И тогда рисунок будет точнее отражать реакцию человека на попытку отчуждения того , что неотъемлемо принадлежит ему .","['и', 'тогда', 'рисунок', 'быть', 'точно', 'отражать', 'реакция', 'человек', 'на', 'попытка', 'отчуждение', 'то', ',', 'что', 'неотъемлемо', 'принадлежать', 'он', '.']",5,1
отражать,"Хоть и не про всех славян , но смысл отражает .","['хоть', 'и', 'не', 'про', 'весь', 'славянин', ',', 'но', 'смысл', 'отражать', '.']",5,0
отражать,"Но наша русская матрешка наиболее точно отражает суть данной "" КОНСТРУКЦИИ . ""","['но', 'наш', 'русский', 'матрёшка', 'наиболее', 'точно', 'отражать', 'суть', 'данный', '""', 'конструкция', '.', '""']",5,0
идти,"Потом идти хвастаться готовым материалом дядьке , который говорит с французским акцентом .","['потом', 'идти', 'хвастаться', 'готовый', 'материал', 'дядька', ',', 'который', 'говорить', 'с', 'французский', 'акцент', '.']",1,0
идти,Капитан на лед войной идет .,"['капитан', 'на', 'лёд', 'война', 'идти', '.']",1,0
идти,"Человечество идет вперед , совершенствуя свои силы .","['человечество', 'идти', 'вперёд', ',', 'совершенствовать', 'свой', 'сила', '.']",1,0
идти,"Никто не желает идти за правдой в суд , который демонстрирует свою полную зависимость и ангажированность .","['никто', 'не', 'желать', 'идти', 'за', 'правда', 'в', 'суд', ',', 'который', 'демонстрировать', 'свой', 'полный', 'зависимость', 'и', 'ангажированность', '.']",1,0
идти,"Итак , работа на данный день идет .","['итак', ',', 'работа', 'на', 'данный', 'день', 'идти', '.']",1,0
звезда,Малкин был признан третьей звездой матча .,"['Малкин', 'быть', 'признанный', 'третий', 'звезда', 'матч', '.']",3,1
звезда,"Так_как я не звезда к сожалению , пообещал сделать бесплатно .","['так_как', 'я', 'не', 'звезда', 'к', 'сожаление', ',', 'пообещать', 'сделать', 'бесплатно', '.']",3,1
звезда,"А вот Александр Барыкин в натуре умер , на 60-м году жизни , оставив после себя хиты и песни в репертуаре практически всех звезд советской и российской эстрады .","['а', 'вот', 'Александр', 'Барыкин', 'в', 'натура', 'умереть', ',', 'на', '60-й', 'год', 'жизнь', ',', 'оставить', 'после', 'себя', 'хит', 'и', 'песня', 'в', 'репертуар', 'практически', 'весь', 'звезда', 'советский', 'и', 'российский', 'эстрада', '.']",3,1
звезда,"Тому , кто придет первым , обещал внеочередную звезду .","['тот', ',', 'кто', 'прийти', 'первый', ',', 'обещать', 'внеочередной', 'звезда', '.']",3,0
звезда,"Из никому не известного бывшего уголовника , бомжа , а в последнее время столяра он трансформировался в звезду экрана .","['Иза', 'никто', 'не', 'известный', 'бывший', 'уголовник', ',', 'бомж', ',', 'а', 'в', 'последний', 'время', 'столяр', 'он', 'трансформироваться', 'в', 'звезда', 'экран', '.']",3,1
отражать,"Долина уже погрузилась в ночную тьму , и лишь видневшиеся вдалеке стены кратера отражали бронзовые лучи заходящего светила .","['долина', 'уже', 'погрузиться', 'в', 'ночной', 'тьма', ',', 'и', 'лишь', 'видневшийся', 'вдалеке', 'стена', 'кратер', 'отражать', 'бронзовый', 'луч', 'заходящий', 'светило', '.']",3,1
отражать,"Зеркальные стены отражали множество бронзовых подсвечников , в которых горели десятки ароматизированных свечей .","['зеркальный', 'стена', 'отражать', 'множество', 'бронзовый', 'подсвечник', ',', 'в', 'который', 'гореть', 'десяток', 'ароматизированный', 'свеча', '.']",3,0
отражать,"Подобный эффект может быть достигнут при помощи специального покрытия из сверхтонкого слоя микроскопических коллоидных золотых частиц , которые обладают способностью не отражать свет , а , значит , делают вещь , покрытую этим раствором , не воспринимаемой для глаза .","['подобный', 'эффект', 'мочь', 'быть', 'достигнутый', 'при', 'помощь', 'специальный', 'покрытие', 'из', 'сверхтонкий', 'слой', 'микроскопический', 'коллоидный', 'золотой', 'частица', ',', 'который', 'обладать', 'способность', 'не', 'отражать', 'свет', ',', 'а', ',', 'значит', ',', 'делать', 'вещь', ',', 'покрытый', 'этот', 'раствор', ',', 'не', 'воспринимаемый', 'для', 'глаз', '.']",3,1
отражать,"Все сложнее стало отражать нападения врагов , принимать острую сталь на разом отяжелевший меч .","['всё', 'сложно', 'стать', 'отражать', 'нападение', 'враг', ',', 'принимать', 'острый', 'сталь', 'на', 'разом', 'отяжелевший', 'меч', '.']",3,0
отражать,"Вдруг ей показалось , что среди деревьев что-то ярко блеснуло , отражая солнечный свет .","['вдруг', 'он', 'показаться', ',', 'что', 'среди', 'дерево', 'что-то', 'ярко', 'блеснуть', ',', 'отражать', 'солнечный', 'свет', '.']",3,1
кисть,"Ствол револьвера , кисть руки , держащей оружие и сама рука должны составлять одну прямую линию .","['ствол', 'револьвер', ',', 'кисть', 'рука', ',', 'держащий', 'оружие', 'и', 'сам', 'рука', 'должный', 'составлять', 'один', 'прямой', 'линия', '.']",1,0
кисть,"Задержка соперника представляет собой препятствование его движению с помощью кистей рук , рук или корпуса .","['задержка', 'соперник', 'представлять', 'себя', 'препятствование', 'его', 'движение', 'с', 'помощь', 'кисть', 'рука', ',', 'рука', 'или', 'корпус', '.']",1,0
кисть,"Игра рукой подразумевает намеренное действие игрока , касающегося мяча кистью руки или рукой .","['игра', 'рука', 'подразумевать', 'намеренный', 'действие', 'игрок', ',', 'касающийся', 'мяч', 'кисть', 'рука', 'или', 'рука', '.']",1,0